espn_order,player_name,source_player_name,in_current_checkpoint,source_name,source_updated_date,source_url,notes
44,Drake Maye,Drake Maye,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
45,Quinshon Judkins,Quinshon Judkins,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
46,Tee Higgins,Tee Higgins,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
47,Tyler Warren,Tyler Warren,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
48,Jayden Daniels,Jayden Daniels,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
49,Jaylen Waddle,Jaylen Waddle,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
50,Josh Jacobs,Josh Jacobs,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
51,Jalen Hurts,Jalen Hurts,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
52,Joe Burrow,Joe Burrow,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
53,D'Andre Swift,D'Andre Swift,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
54,Bucky Irving,Bucky Irving,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
55,Terry McLaurin,Terry McLaurin,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
56,DJ Moore,DJ Moore,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
57,David Montgomery,David Montgomery,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
58,Bhayshul Tuten,Bhayshul Tuten,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
59,Jameson Williams,Jameson Williams,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
60,Rome Odunze,Rome Odunze,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
61,Kyle Pitts Sr.,Kyle Pitts Sr.,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
62,Jadarian Price,Jadarian Price,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
63,Harold Fannin Jr.,Harold Fannin Jr.,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
64,Sam LaPorta,Sam LaPorta,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
65,Dak Prescott,Dak Prescott,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
66,Luther Burden III,Luther Burden III,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
67,Carnell Tate,Carnell Tate,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
68,George Kittle,George Kittle,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
69,TreVeyon Henderson,TreVeyon Henderson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
70,Marvin Harrison Jr.,Marvin Harrison Jr.,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
71,Rhamondre Stevenson,Rhamondre Stevenson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
72,Courtland Sutton,Courtland Sutton,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
73,Jaxson Dart,Jaxson Dart,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
74,Brandon Aubrey,Brandon Aubrey,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
75,DK Metcalf,DK Metcalf,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
76,Mike Evans,Mike Evans,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
77,Justin Herbert,Justin Herbert,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
78,Michael Pittman Jr.,Michael Pittman Jr.,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
79,Jaylen Warren,Jaylen Warren,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
80,Matthew Stafford,Matthew Stafford,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
81,Christian Watson,Christian Watson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
82,Parker Washington,Parker Washington,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
